day,campaign_id,campaign_name,impressions,clicks,cost_in_usd,external_website_conversions,video_views,likes,shares,comments,_fivetran_synced,_fivetran_deleted
2024-03-18,331003,Retargeting - Website Visitors,3665,67,96027,2,19,49,3,0,2024-03-18T08:00:00Z,false
2024-03-19,331001,Brand Awareness - IT Decision Makers,838,6,7574,1,77,36,9,1,2024-03-19T08:00:00Z,false
2024-03-19,331002,Lead Gen - CTO Persona,2742,23,27309,1,10,44,7,1,2024-03-19T08:00:00Z,false
2024-03-19,331003,Retargeting - Website Visitors,2357,41,39719,2,47,11,6,3,2024-03-19T08:00:00Z,false
2024-03-20,331001,Brand Awareness - IT Decision Makers,2240,15,10398,0,52,48,0,2,2024-03-20T08:00:00Z,false
2024-03-20,331002,Lead Gen - CTO Persona,1991,16,18741,0,96,13,1,1,2024-03-20T08:00:00Z,false
2024-03-20,331003,Retargeting - Website Visitors,2099,37,36627,1,58,15,6,3,2024-03-20T08:00:00Z,false
2024-03-21,331001,Brand Awareness - IT Decision Makers,3479,19,23471,1,92,20,6,4,2024-03-21T08:00:00Z,false
2024-03-21,331002,Lead Gen - CTO Persona,3341,45,46627,2,90,50,0,4,2024-03-21T08:00:00Z,false
2024-03-21,331003,Retargeting - Website Visitors,747,8,10616,0,31,33,8,3,2024-03-21T08:00:00Z,false
2024-03-22,331001,Brand Awareness - IT Decision Makers,3311,18,15973,0,24,18,7,3,2024-03-22T08:00:00Z,false
2024-03-22,331002,Lead Gen - CTO Persona,3922,37,49121,1,21,27,4,4,2024-03-22T08:00:00Z,false
2024-03-22,331003,Retargeting - Website Visitors,523,8,11229,1,82,28,1,5,2024-03-22T08:00:00Z,false
2024-03-23,331001,Brand Awareness - IT Decision Makers,2350,15,19180,0,50,26,5,3,2024-03-23T08:00:00Z,false
2024-03-23,331002,Lead Gen - CTO Persona,402,3,3270,0,58,5,4,2,2024-03-23T08:00:00Z,false
2024-03-23,331003,Retargeting - Website Visitors,3133,46,55727,0,91,46,1,0,2024-03-23T08:00:00Z,false
2024-03-24,331001,Brand Awareness - IT Decision Makers,767,11,12474,0,67,45,6,5,2024-03-24T08:00:00Z,false
2024-03-24,331002,Lead Gen - CTO Persona,3540,69,76733,1,48,35,6,0,2024-03-24T08:00:00Z,false
2024-03-24,331003,Retargeting - Website Visitors,3446,26,21715,0,20,9,2,5,2024-03-24T08:00:00Z,false
2024-03-25,331001,Brand Awareness - IT Decision Makers,510,5,4047,1,36,40,2,0,2024-03-25T08:00:00Z,false
2024-03-25,331002,Lead Gen - CTO Persona,3980,27,18976,1,1,29,7,3,2024-03-25T08:00:00Z,false
2024-03-25,331003,Retargeting - Website Visitors,2526,43,47643,1,30,13,9,5,2024-03-25T08:00:00Z,false
2024-03-26,331001,Brand Awareness - IT Decision Makers,2248,26,24488,0,31,35,4,4,2024-03-26T08:00:00Z,false
2024-03-26,331002,Lead Gen - CTO Persona,2874,38,50359,0,23,9,0,5,2024-03-26T08:00:00Z,false
2024-03-26,331003,Retargeting - Website Visitors,1729,9,12184,1,42,5,0,0,2024-03-26T08:00:00Z,false
2024-03-27,331001,Brand Awareness - IT Decision Makers,2007,39,25792,1,78,42,9,4,2024-03-27T08:00:00Z,false
2024-03-27,331002,Lead Gen - CTO Persona,3524,47,68915,2,74,23,0,0,2024-03-27T08:00:00Z,false
2024-03-27,331003,Retargeting - Website Visitors,3447,32,27794,1,8,48,6,4,2024-03-27T08:00:00Z,false
2024-03-28,331001,Brand Awareness - IT Decision Makers,565,5,3172,1,42,33,6,4,2024-03-28T08:00:00Z,false
2024-03-28,331002,Lead Gen - CTO Persona,1159,17,18904,0,73,46,10,4,2024-03-28T08:00:00Z,false
2024-03-28,331003,Retargeting - Website Visitors,659,8,9509,1,54,38,5,2,2024-03-28T08:00:00Z,false
2024-03-29,331001,Brand Awareness - IT Decision Makers,2452,33,37067,0,78,36,7,4,2024-03-29T08:00:00Z,false
2024-03-29,331002,Lead Gen - CTO Persona,3286,47,46647,0,78,14,4,1,2024-03-29T08:00:00Z,false
2024-03-29,331003,Retargeting - Website Visitors,306,2,1929,0,94,13,9,3,2024-03-29T08:00:00Z,false
2024-03-30,331001,Brand Awareness - IT Decision Makers,1995,11,9346,0,1,40,3,5,2024-03-30T08:00:00Z,false
2024-03-30,331002,Lead Gen - CTO Persona,1453,12,6814,1,64,35,5,0,2024-03-30T08:00:00Z,false
2024-03-30,331003,Retargeting - Website Visitors,766,11,9254,0,22,12,5,2,2024-03-30T08:00:00Z,false
